Epoch,Train Loss,Test Loss
0,0.5338284744966827,0.755170333981514
1,0.36856415341661075,0.3420054295659065
2,0.326068709281474,0.3213945573568344
3,0.2980119128996908,0.31986564964056013
4,0.27728019682937133,0.3140640449523926
5,0.25779016763159784,0.3144647008180618
6,0.23739956157730627,0.3209997650980949
7,0.21511577641001867,0.3234039631485939
8,0.19351915562288158,0.3322278371453285
9,0.17584438903860908,0.34320801615715024
10,0.1536912106231212,0.3440143170952797
11,0.1369150694539538,0.349725484251976
12,0.12446831769931212,0.352750343978405
13,0.11430908084704927,0.35816568702459334
14,0.10602423403069171,0.3634828570485115
15,0.09911705688825923,0.3649287024140358
16,0.0940139647502767,0.3692608332633972
17,0.09356856606383943,0.3628492119908333
