Epoch,Train Loss,Test Loss
0,0.579530861270984,0.782379983663559
1,0.4167783333629858,0.3738680636882782
2,0.40267082823330036,0.36238968729972837
3,0.36406582263198506,0.3524994614720345
4,0.3508874380874153,0.3468292674422264
5,0.3403166826405712,0.33413505524396897
6,0.33051218319811104,0.33318371504545213
7,0.32367290680450567,0.32673633903265
8,0.3177710845784612,0.3237934073805809
9,0.310459371980322,0.3227842165529728
10,0.30618236214862043,0.320349212884903
11,0.30187733862243715,0.31888260185718537
12,0.2969674889331808,0.32126794904470446
13,0.2937625443461864,0.3224218112230301
14,0.28989520868166696,0.3214662861824036
15,0.28637217672971577,0.3199334365129471
16,0.2826639090254809,0.3184833699464798
17,0.27966582782632315,0.31763354539871214
18,0.2775075139494291,0.3148633040487766
