Epoch,Train Loss,Test Loss
0,0.6947982428128001,0.8152891099452972
1,0.4919848790836214,0.43321490943431856
2,0.44643137197175814,0.40812914073467255
3,0.4269955878299843,0.39531607121229173
4,0.41671491804219135,0.3992941951751709
5,0.41011618658392907,0.38052249640226365
6,0.40479256019165355,0.37573531180620195
7,0.40081492115239625,0.37349687069654464
8,0.398653622721363,0.37250258564949035
9,0.39760196505849627,0.37343330204486846
10,0.39548073695857466,0.3668634766340256
11,0.3920903367473078,0.3727001330256462
12,0.38899799219296227,0.3733389899134636
13,0.3905889065689578,0.35883632212877276
14,0.3868430700308137,0.362279814183712
15,0.3871980609012883,0.3627506044507027
16,0.3863657316824828,0.35853910237550735
17,0.3859388732444143,0.3566211822628975
18,0.3855180405127296,0.3643692347407341
19,0.38419015594719336,0.36119544208049775
20,0.3845922371177625,0.3600250029563904
21,0.38354901456442037,0.35843422055244445
22,0.38255155372138583,0.3587764644622803
23,0.384013956762653,0.35640807926654816
24,0.38197064922105467,0.3516896343231201
25,0.38138186766250437,0.3506446295976639
