Epoch,Train Loss,Test Loss
0,0.9908698826200433,1.0417628915686357
1,0.8664267421182659,0.9885338105653462
2,0.8069079263756672,0.9738627797678897
3,0.7949215500719018,0.983023392526727
4,0.7613265390197436,0.9695504997905932
5,0.7153712725266814,0.9188571697787234
6,0.6696566407465272,0.7944253934057135
7,0.6004816275089979,0.784583750524019
8,0.5296944465695156,0.7182830979949549
9,0.46591727321760523,0.6894602948113492
10,0.41816262942221427,0.7084470846151051
11,0.3314440495127605,0.6968791296607569
12,0.2532942939756645,0.688680405679502
13,0.17899848520755768,0.7386850651941801
14,0.1309272198834353,0.7112045241029639
15,0.12717854438556564,0.7293063606086531
16,0.10549470088962051,0.6985485569426888
17,0.08727583907441133,0.7318949260209736
