Epoch,Train Loss,Test Loss
0,0.9465139576544365,1.0121878950219405
1,0.8260739449825552,1.0187904834747314
2,0.7992985006421804,1.0029696884908175
3,0.7339628462990125,0.992904565836254
4,0.6831118109532528,0.9420818780597887
5,0.616867119860318,0.8297597169876099
6,0.5692980029723711,0.764280345879103
7,0.46869671893202597,0.7701036977140527
8,0.38423549658101463,0.7444227180982891
9,0.30265640519145465,0.720498579113107
10,0.1984049642148117,0.7997951931075046
11,0.15901274521214268,0.8035121764007368
12,0.11060703693268199,0.7467632921118486
13,0.09815050687433945,0.7366567057998556
14,0.08864512698103984,0.8008906402085957
15,0.08142157566423218,0.7660302410000249
16,0.07669492488882194,0.7439013562704387
17,0.07827787709215449,0.7924883412687402
18,0.0704209960790144,0.8034189076800096
