Epoch,Train Loss,Test Loss
0,0.5361568051734458,0.8586035442352294
1,0.40169612091847356,0.39489646553993224
2,0.36033057050326134,0.36951318740844724
3,0.34007859744911384,0.34160189956426623
4,0.324883045194128,0.3335618713498116
5,0.31526730492391625,0.33263164192438127
6,0.30286884304103157,0.3210346758365631
7,0.2962517075024517,0.3196604871749878
8,0.2902028924429702,0.3165315492451191
9,0.2842448164919135,0.31251306176185606
10,0.2787733161246491,0.31073851257562635
11,0.27436325459507344,0.31902634143829345
12,0.26931511946163444,0.311402900069952
13,0.26535512040948206,0.3102107724547386
14,0.2622674200002663,0.3149309654533863
15,0.2594266162168183,0.31070722460746764
16,0.2546053996678409,0.3082132750749588
17,0.2523168155366806,0.3120991651713848
18,0.24740330609968603,0.31020998060703275
19,0.2456978503497221,0.3119856761395931
20,0.24285489427862972,0.31136576920747755
21,0.23907991315497726,0.3166653072834015
22,0.23680337628380196,0.3134525774419308
23,0.23524081983226544,0.3080595591664314
24,0.231347685785492,0.3162564581632614
25,0.22985350486234038,0.3104985216259956
26,0.2273265628841756,0.32057125493884087
