Epoch,Train Loss,Test Loss
0,0.815648395657389,0.9217256993055344
1,0.7954998930345417,0.7717691677808761
2,0.748913235577178,0.7680005311965943
3,0.6695413966798242,0.6256894183158874
4,0.6129120589054247,0.5941545510292053
5,0.5735744205955299,0.5669102424383163
6,0.5203574042753193,0.49300105214118956
7,0.46957528602430526,0.4516925656795502
8,0.43625885003902876,0.4283844992518425
9,0.4113065407225042,0.4107493352890015
10,0.3926997263299261,0.39577330738306044
11,0.37863535245159385,0.3892440661787987
12,0.3686837548716522,0.3858535861968994
13,0.3593024053384196,0.3763443824648857
14,0.3515601548616402,0.370469291806221
15,0.34520478559773027,0.36612568408250806
16,0.33967870477619866,0.36346772879362105
17,0.33376727173337417,0.35955707758665084
18,0.3291226363121937,0.35332801640033723
19,0.326497268443751,0.35207238405942914
20,0.3217503792062533,0.34831794261932375
21,0.31828364902757306,0.35278567284345624
22,0.31483321025272337,0.34959590882062913
23,0.3123361507963864,0.3509045559167862
24,0.3086093720166109,0.34091517090797424
25,0.3062708933108391,0.3418057119846344
26,0.3037270167924717,0.3406348231434822
27,0.3004933334464233,0.3398890173435211
28,0.2993455150201071,0.3389806118607521
29,0.29744685194155607,0.3386485010385513
30,0.29694360205234227,0.3345253109931946
31,0.29265279162200675,0.3360158947110176
32,0.29162749285430356,0.3348741665482521
33,0.2892924973560312,0.33143733829259875
34,0.28801794199820274,0.3292838525772095
35,0.2869532945440215,0.33395171612501146
36,0.2850149798889329,0.3380236083269119
37,0.2842426033782177,0.3298987382650375
38,0.28267159934001795,0.3290646436810494
39,0.2808623921976414,0.33111154109239577
40,0.27956641498309515,0.3303750228881836
41,0.2777977017368675,0.33773841738700866
42,0.2772315082716912,0.33065792322158816
43,0.2763673534046055,0.32970780596137045
44,0.27571116799364176,0.3380745494365692
45,0.27457937767346297,0.32610452026128767
46,0.27293154507086226,0.32736545890569685
47,0.27342320694899347,0.32470586702227594
48,0.2709173675706378,0.3288604672253132
49,0.2708857559879671,0.325954916626215
50,0.2695877584916496,0.33052355438470843
51,0.2679284105046851,0.3264388692378998
52,0.2691365959026474,0.3305022144317627
53,0.2670306888647368,0.32716199427843096
54,0.2652219096844614,0.3329194751381874
55,0.26477122688278426,0.32936684161424634
56,0.2642684320521084,0.3256432271003723
57,0.26430341422858483,0.33094338834285736
58,0.2631569817981684,0.3251489804685116
59,0.26294418323836743,0.33095831498503686
60,0.2615581028360737,0.3295304220914841
61,0.26316163580850577,0.33813185065984724
62,0.2612060586373412,0.3290534730255604
63,0.2587594925831125,0.32795431703329087
64,0.2589635545150629,0.3306711623072624
65,0.2586122891415864,0.33020295709371567
66,0.25756546901950017,0.3257530903816223
67,0.2577363286087522,0.32790345430374146
68,0.2640247717029961,0.32653921484947207
69,0.255150486605916,0.3348030176758766
70,0.2546250606319793,0.3339414471387863
71,0.2541483084273068,0.33496425732970236
72,0.25485084561952875,0.33055408239364625
73,0.2546034735847091,0.3340186381340027
74,0.2526334124097006,0.3302479887008667
75,0.2533062984520971,0.3290992493927479
76,0.2523493912226014,0.3307665720582008
77,0.25229218664190356,0.3264365442097187
78,0.25208382131848933,0.33402160584926605
79,0.25192803257200186,0.33200983569025994
80,0.25048849871675727,0.3271366004645824
81,0.25047550528001367,0.33301284313201907
82,0.2499879659312069,0.33092836052179336
83,0.2499702513819234,0.3312798884510994
84,0.24896728744422653,0.33351236939430234
85,0.2483392799411716,0.333517304956913
86,0.24847132140420575,0.3303963240981102
87,0.24740151829857845,0.3299838870763779
88,0.24775142263043273,0.3321293339133263
89,0.24654706889789313,0.3286381860077381
90,0.24652021016554454,0.3329668217897415
91,0.24821592908714338,0.33275567382574084
92,0.24546097036718872,0.33473777532577514
93,0.24548343122757096,0.3354416137933731
94,0.24434461920964914,0.3289853483438492
95,0.2447053779757489,0.3294557704031467
96,0.2439864362962309,0.3308962911367416
97,0.24320830998549997,0.3330106607079506
98,0.24363002143471418,0.3386243286728859
99,0.2428086831470456,0.3413038358092308
100,0.24226238370918837,0.3307041086256504
101,0.24220404228075756,0.3398033362627029
102,0.24136988482288876,0.33647279053926465
103,0.24232764688671612,0.3339201009273529
104,0.24060324174534026,0.3311114728450775
105,0.24411363422419655,0.33161887973546983
106,0.23959253989582854,0.33337464690208435
107,0.23935995105311067,0.3343872320652008
108,0.2398913308207655,0.3345238384604454
109,0.23969345136744077,0.3403585061430931
110,0.23939184665980587,0.3360101133584976
111,0.23937298177094357,0.33373069286346435
112,0.23869905933681382,0.3323323491215706
113,0.2383899218009369,0.33268172681331637
114,0.24040440448370737,0.33430403620004656
115,0.23690748269215206,0.33299398958683013
116,0.23645613187498885,0.33060370832681657
117,0.2364588976470098,0.335538494437933
118,0.2363324253473426,0.3321449202299118
119,0.23678225171746403,0.33217610239982603
120,0.2358974359487976,0.34289884835481643
121,0.23579688035750299,0.3377715453505516
122,0.23551514507993623,0.33614189237356185
123,0.23628501943576832,0.34097710222005845
124,0.2355977236322617,0.3377178546786308
125,0.23495898639118537,0.33534253656864166
126,0.23412345473808419,0.34083824545145036
127,0.23485481291821445,0.34039449349045753
128,0.23390445299211696,0.3385831519961357
129,0.2329983432386141,0.3348698329925537
130,0.23313129521333253,0.3380945485830307
131,0.23332607338362354,0.33503877818584443
132,0.2343967504151081,0.3399341270327568
133,0.23244129183313433,0.34018229573965075
134,0.2324010571382686,0.33678368628025057
135,0.23167472006694365,0.33666145205497744
136,0.23154837997984917,0.33508825600147246
137,0.23569044083695093,0.3403004896640778
138,0.23053422307156374,0.3348439556360245
139,0.23066462805637947,0.33734254002571107
140,0.23065437233688552,0.33889974862337113
141,0.23223919657259842,0.339906707406044
142,0.22991650646451442,0.3488402599096298
143,0.22952347824732863,0.33730177372694015
144,0.2300627786680248,0.3387158986926079
145,0.2316002538157592,0.33576687693595886
146,0.2290928143758942,0.3443978178501129
147,0.22904057680508227,0.3431652957201004
148,0.2293639311949813,0.3491603809595108
149,0.22881778854815688,0.3380329692363739
150,0.2288099150602033,0.33924743205308916
151,0.2281468050251392,0.33844781905412674
152,0.2285106971127088,0.3407501170039177
153,0.22807968452027888,0.34515412837266923
154,0.2280346529856606,0.34449923157691953
155,0.227593718794225,0.3396544635295868
156,0.22734263046993433,0.34081329762935636
157,0.2286117182478478,0.3485521399974823
158,0.2268776353753981,0.3492856740951538
159,0.2269683348162929,0.3432643657922745
160,0.22646850048744063,0.3394769063591957
161,0.2265682881333939,0.34511883318424225
162,0.2266655292404254,0.337494578063488
163,0.22596913632498714,0.33725274801254274
164,0.22631176050945007,0.3388035425543785
165,0.22542726288903106,0.3403287589550018
166,0.22517264796911843,0.33944974064826966
167,0.22613955182957018,0.3393293982744217
168,0.22564693890784457,0.3394442066550255
169,0.22550806812801097,0.3393286716938019
170,0.22510276116609274,0.34272598147392275
171,0.22359980052762193,0.345110542178154
